#gene_symbol	NM_ID
A2M	NM_000014.4
CSF1R	NM_005211.3
CSF2	NM_000758.2
CSF2RA	NM_006140.4
CSF2RB	NM_000395.2
CSF3R	NM_000760.3
CSGALNACT1	NM_001130518.1
CSK	NM_004383.2
CSMD1	NM_033225.5
CSMD3	NM_198123.1
CSNK1A1L	NM_145203.5
CSNK1D	NM_001893.4
CSNK1E	NM_001894.4
CSRP3	NM_003476.3
CST3	NM_000099.2
CST9	NM_001008693.2
CSTA	NM_005213.3
CSTB	NM_000100.2
CSTF2T	NM_015235.2
CTC1	NM_025099.5
CTDP1	NM_004715.4
CTF1	NM_001330.3
CTGF	NM_001901.2
CTH	NM_001902.5
CTHRC1	NM_138455.2
CTLA4	NM_005214.4
CTNNA1	NM_001903.2
CTNNA3	NM_013266.2
CTNNB1	NM_001904.3
CTNND2	NM_001332.2
CTNS	NM_004937.2
CTRC	NM_007272.2
CTRL	NM_001907.2
CTSA	NM_000308.2
CTSB	NM_001908.3
CTSC	NM_001814.4
CTSD	NM_001909.4
CTSG	NM_001911.2
CTSK	NM_000396.3
CTSL	NM_001912.4
CTSL1	NM_001912.4
CTSZ	NM_001336.3
CTTNBP2	NM_033427.2
CUBN	NM_001081.3
CUL3	NM_003590.3
CUL4B	NM_003588.3
CUL5	NM_003478.3
CUL7	NM_014780.4
CUTA	NM_001014433.2
CUX2	NM_015267.3
CX3CR1	NM_001337.3
CXCL10	NM_001565.3
CXCL12	NM_000609.6
CXCL16	NM_022059.2
CXCL5	NM_002994.3
CXCR1	NM_000634.2
CXCR3	NM_001504.1
CXCR4	NM_003467.2
CYB5A	NM_001914.3
CYB5R3	NM_000398.6
CYBA	NM_000101.2
CYBB	NM_000397.3
CYBRD1	NM_024843.3
CYCS	NM_018947.5
CYLD	NM_015247.2
CYP11A1	NM_000781.2
CYP11B1	NM_000497.3
CYP11B2	NM_000498.3
CYP17A1	NM_000102.3
CYP19A1	NM_031226.2
CYP1A1	NM_000499.3
CYP1A2	NM_000761.3
CYP1B1	NM_000104.3
CYP21A2	NM_000500.7
CYP24A1	NM_000782.4
CYP26A1	NM_000783.3
CYP26B1	NM_019885.2
CYP26C1	NM_183374.2
CYP27A1	NM_000784.3
CYP27B1	NM_000785.3
CYP2A13	NM_000766.3
CYP2A6	NM_000762.5
CYP2B6	NM_000767.4
CYP2C18	NM_000772.2
CYP2C19	NM_000769.1
CYP2C8	NM_000770.3
CYP2C9	NM_000771.3
CYP2D6	NM_000106.4
CYP2E1	NM_000773.3
CYP2F1	NM_000774.3
CYP2J2	NM_000775.2
CYP2R1	NM_024514.4
CYP2U1	NM_183075.2
CYP2W1	NM_017781.2
CYP3A4	NM_017460.5
CYP3A43	NM_022820.3
CYP3A5	NM_000777.3
CYP3A7	NM_000765.3
CYP46A1	NM_006668.1
CYP4A11	NM_000778.3
CYP4A22	NM_001010969.2
CYP4B1	NM_001099772.1
CYP4F12	NM_023944.3
CYP4F2	NM_001082.3
CYP4F22	NM_173483.3
CYP4F3	NM_001199209.1
CYP4V2	NM_207352.3
CYP51A1	NM_000786.3
CYP7A1	NM_000780.3
CYP7B1	NM_004820.3
CYSLTR1	NM_006639.2
CYSLTR2	NM_020377.2
D2HGDH	NM_152783.3
DAB2	NM_001343.2
DACH1	NM_080759.4
DACT1	NM_016651.5
DAG1	NM_004393.4
DAO	NM_001917.4
DAOA	NM_172370.3
DAPK1	NM_004938.2
DARC	NM_001122951.2
DARS2	NM_018122.4
DAZL	NM_001351.3
DBH	NM_000787.3
DBI	NM_001079862.1
DBT	NM_001918.2
DCAF13	NM_015420.6
DCAF17	NM_025000.3
DCAF4	NM_015604.3
DCC	NM_005215.3
DCK	NM_000788.2
DCLK1	NM_004734.4
DCLRE1C	NM_001033855.1
DCN	NM_001920.3
DCP1B	NM_152640.3
DCTD	NM_001921.2
DCTN1	NM_004082.4
DCTN4	NM_001135643.1
DCX	NM_178153.2
DCXR	NM_016286.3
DDAH2	NM_013974.2
DDB2	NM_000107.2
DDC	NM_000790.3
DDHD1	NM_001160147.1
DDHD2	NM_015214.2
DDOST	NM_005216.4
DDR1	NM_013994.2
DDR2	NM_006182.2
DDRGK1	NM_023935.1
DDX11	NM_030653.3
DDX20	NM_007204.4
DDX25	NM_013264.3
DDX39B	NM_004640.6
DDX3X	NM_001193416.1
DDX5	NM_004396.3
DDX58	NM_014314.3
DEAF1	NM_021008.2
DEC1	NM_017418.2
DEFB1	NM_005218.3
DEFB126	NM_030931.2
DENND5A	NM_015213.2
DENR	NM_003677.3
DES	NM_001927.3
DFNA5	NM_004403.2
DFNB31	NM_015404.3
DFNB59	NM_001042702.3
DGAT1	NM_012079.5
DGCR14	NM_022719.2
DGCR2	NM_005137.2
DGUOK	NM_080916.1
DHCR24	NM_014762.3
DHCR7	NM_001360.2
DHDDS	NM_024887.2
DHFR	NM_000791.3
DHH	NM_021044.2
DHODH	NM_001361.3
DHRS4L1	NM_001082488.1
DHTKD1	NM_018706.5
DHX16	NM_003587.4
DHX36	NM_020865.2
DHX37	NM_032656.3
DIABLO	NM_019887.4
DIAPH1	NM_005219.4
DIAPH3	NM_001042517.1
DICER1	NM_177438.2
DIO1	NM_000792.5
DIO2	NM_013989.4
DIP2A	NM_015151.3
DIP2C	NM_014974.2
DIS3L2	NM_152383.4
DISC1	NM_018662.2
disc1es	NM_001012958.1
DISP1	NM_032890.3
DKC1	NM_001363.3
DKK2	NM_014421.2
DKK3	NM_015881.5
DLAT	NM_001931.4
DLD	NM_000108.3
DLG3	NM_021120.3
DLG5	NM_004747.3
DLGAP3	NM_001080418.1
DLL1	NM_005618.3
DLL3	NM_016941.3
DLX3	NM_005220.2
DLX5	NM_005221.5
DLX6	NM_005222.3
DMBT1	NM_007329.2
DMC1	NM_007068.2
DMD	NM_004006.2
DMGDH	NM_013391.2
DMP1	NM_004407.3
DMRT1	NM_021951.2
DNAAF1	NM_178452.4
DNAAF2	NM_018139.2
DNAAF3	NM_001256714.1
DNAH11	NM_003777.3
DNAH5	NM_001369.2
DNAH9	NM_001372.3
DNAI1	NM_012144.2
DNAI2	NM_023036.4
DNAJA4	NM_001130183.1
DNAJB2	NM_001039550.1
DNAJB6	NM_058246.3
DNAJC19	NM_145261.3
DNAJC5	NM_025219.2
DNAL1	NM_031427.3
DNASE1	NM_005223.3
DNASE1L3	NM_004944.2
DNASE2	NM_001375.2
DND1	NM_194249.2
DNM1	NM_004408.2
DNM1L	NM_012062.3
DNM2	NM_001005360.2
DNMBP	NM_015221.2
DNMT1	NM_001130823.1
DNMT3A	NM_175629.1
DNMT3B	NM_006892.3
DNMT3L	NM_013369.2
DOC2A	NM_003586.2
DOCK6	NM_020812.2
DOCK8	NM_203447.3
DOCK9	NM_015296.2
DOK7	NM_173660.4
DOLK	NM_014908.3
DOM3Z	NM_005510.3
DPAGT1	NM_001382.3
DPM1	NM_003859.1
DPM2	NM_003863.3
DPM3	NM_153741.1
DPP3	NM_005700.3
DPY19L2	NM_173812.4
DPYD	NM_000110.3
DPYS	NM_001385.2
DPYSL2	NM_001386.5
DRD1	NM_000794.3
DRD2	NM_000795.3
DRD3	NM_000796.3
DRD4	NM_000797.3
DRD5	NM_000798.4
DROSHA	NM_013235.4
DRP2	NM_001939.2
DSC2	NM_024422.3
DSC3	NM_024423.2
DSCAM	NM_001389.3
DSCR8	NM_032589.2
DSG1	NM_001942.2
DSG2	NM_001943.3
DSG4	NM_177986.3
DSP	NM_004415.2
DSPP	NM_014208.3
DST	NM_001723.5
dst1eA	NM_015548.4
DTHD1	NM_001136536.3
DTNA	NM_032978.6
DTNBP1	NM_032122.4
DUOX2	NM_014080.4
DUOXA2	NM_207581.3
DUSP15	NM_080611.3
DUSP23	NM_017823.3
DUSP3	NM_004090.3
DVL2	NM_004422.2
DVL3	NM_004423.3
dvwa	AB299979.1
DYM	NM_017653.3
DYNC1H1	NM_001376.4
DYNC2H1	NM_001080463.1
DYRK1A	NM_001396.3
dyrk1atv3	NM_101395.2
DYSF	NM_003494.3
dysftv11	NM_001130978.1
dyt3	AJ549245.1
DYX1C1	NM_130810.3
EARS2	NM_001083614.1
EBAG9	NM_198120.1
EBP	NM_006579.2
ECE1	NM_001397.2
ECEL1	NM_004826.2
ECI1	NM_001919.3
ECM1	NM_004425.3
ECM2	NM_001393.3
ECSIT	NM_001142464.1
EDA	NM_001399.4
EDA2R	NM_021783.3
EDAR	NM_022336.3
EDARADD	NM_145861.2
EDN1	NM_001955.4
EDN2	NM_001956.4
EDN3	NM_207034.1
EDNRA	NM_001957.3
EDNRB	NM_000115.3
EED	NM_003797.3
EEF1A2	NM_001958.2
EEF2	NM_001961.3
EEF2K	NM_013302.3
EFCAB5	NM_001145053.1
EFEMP1	NM_001039348.2
EFEMP2	NM_016938.4
EFHC1	NM_018100.3
EFHC2	NM_025184.3
EFNB1	NM_004429.4
EFR3A	NM_015137.4
EFTUD2	NM_004247.3
EGF	NM_001963.4
EGFR	NM_005228.3
EGLN1	NM_022051.2
EGR2	NM_000399.3
EHD2	NM_014601.3
EHMT1	NM_024757.4
EHMT2	NM_006709.3
EIF2AK3	NM_004836.5
EIF2B1	NM_001414.3
EIF2B2	NM_014239.3
EIF2B3	NM_020365.3
EIF2B4	NM_015636.3
EIF2B5	NM_003907.2
EIF2C1	NM_012199.2
EIF2C2	NM_012154.3
EIF2S3	NM_001415.3
EIF3H	NM_003756.2
EIF4G1	NM_198241.2
ELAC2	NM_018127.6
ELANE	NM_001972.2
ELAVL2	NM_004432.3
ELF4	NM_001421.3
ELK1	NM_005229.3
ELN	U93034.1
ELOVL4	NM_022726.3
ELP2	NM_001242875.1
EMC1	NM_015047.1
EMD	NM_000117.2
EME1	NM_001166131.1
EMG1	NM_006331.7
EMX2	NM_004098.3
EN2	NM_001427.3
ENAM	NM_031889.2
ENG	NM_000118.2
ENO1	NM_001428.3
ENO3	NM_053013.3
ENOX1	NM_017993.3
ENPP1	NM_006208.2
ENTPD1	NM_001776.5
EOMES	NM_005442.3
EP300	NM_001429.3
EPAS1	NM_001430.4
EPB41	NM_004437.3
EPB41L1	NM_012156.2
EPB42	NM_000119.2
EPCAM	NM_002354.2
EPG5	NM_020964.2
EPHA2	NM_004431.3
EPHA4	NM_004438.3
EPHA7	NM_004440.3
EPHB2	NM_017449.3
EPHB6	NM_004445.3
EPHX1	NM_000120.3
EPHX2	NM_001979.4
EPM2A	NM_005670.3
EPO	NM_000799.2
EPOR	NM_000121.3
EPPK1	NM_031308.1
EPS8L3	NM_139053.2
EPX	NM_000502.4
ERAP1	NM_016442.3
ERBB2	NM_004448.2
ERBB3	NM_001982.3
ERBB4	NM_005235.2
ERCC1	NM_202001.2
ERCC2	NM_000400.3
ERCC3	NM_000122.1
ERCC4	NM_005236.2
ERCC5	NM_000123.3
ERCC6	NM_000124.2
ERCC8	NM_000082.3
ERLIN2	NM_007175.6
ERMAP	NM_018538.3
ESAM	NM_138961.2
ESCO2	NM_001017420.2
ESPN	NM_031475.2
ESR1	NM_000125.3
ESR2	NM_001437.2
ESRRB	NM_004452.3
ETFA	NM_000126.3
ETFB	NM_001985.2
etfbtv2	NM_001014763.1
ETFDH	NM_004453.2
ETHE1	NM_014297.3
ETS1	NM_001143820.1
ETV5	NM_004454.2
EVC	NM_153717.2
EVC2	NM_147127.4
EWSR1	NM_001163285.1
EXO1	NM_006027.4
EXOC8	NM_175876.3
EXOSC3	NM_016042.2
EXPH5	NM_015065.2
EXT1	NM_000127.2
EXT2	NM_207122.1
EXTL3	NM_001440.2
EYA1	NM_000503.4
EYA4	NM_004100.4
EYS	NM_001142800.1
EZH2	NM_004456.4
F10	NM_000504.3
F11	NM_000128.3
F12	NM_000505.3
F13A1	NM_000129.3
F13B	NM_001994.2
F2	NM_000506.3
F2R	NM_001992.3
F2RL1	NM_005242.4
F3	NM_001993.4
F5	NM_000130.4
F7	NM_000131.3
F8	NM_000132.3
F9	NM_000133.3
FA2H	NM_024306.4
FAAH	NM_001441.2
FABP1	NM_001443.2
FABP2	NM_000134.3
FABP4	NM_001442.2
FABP6	NM_001040442.1
FABP7	NM_001446.3
FADD	NM_003824.3
FADS2	NM_004265.3
FAH	NM_000137.2
FAM123B	NM_152424.3
FAM126A	NM_032581.3
FAM134B	NM_001034850.1
FAM154A	NM_153707.2
FAM161A	NM_032180.2
FAM175A	NM_139076.2
FAM188A	NM_024948.2
FAM20A	NM_017565.3
FAM20C	NM_020223.2
FAM47B	NM_152631.2
FAM63B	NM_001040450.1
FAM75C1	NM_001145124.1
FAM83H	NM_198488.3
FAM8A1	NM_016255.2
FAM91A1	NM_144963.2
FAN1	NM_014967.4
FANCA	NM_000135.2
FANCB	NM_001018113.1
FANCC	NM_000136.2
FANCD2	NM_033084.3
FANCE	NM_021922.2
FANCF	NM_022725.3
FANCG	NM_004629.1
FANCI	NM_001113378.1
FANCL	NM_018062.3
FANCM	NM_020937.2
FARP2	NM_014808.2
FARS2	NM_006567.3
FAS	NM_000043.4
FASLG	NM_000639.1
FASN	NM_004104.4
FASTKD2	NM_014929.3
FAT1	NM_005245.3
FBLIM1	NM_001024215.1
FBLN1	NM_006486.2
FBLN2	NM_001004019.1
FBLN5	NM_006329.3
FBN1	NM_000138.4
FBN2	NM_001999.3
FBP1	NM_000507.3
FBXL6	NM_012162.1
FBXO10	NM_012166.2
FBXO18	NM_032807.3
FBXO7	NM_012179.3
FCAR	NM_002000.2
FCER1A	NM_002001.3
FCER2	NM_002002.4
FCGR1A	NM_000566.3
FCGR2A	NM_021642.3
FCGR2B	NM_004001.4
FCGR2C	NM_201563.4
FCGR3A	NM_000569.6
FCGR3B	NM_000570.3
FCN2	NM_004108.2
FCN3	NM_003665.2
FCRL3	NM_052939.3
FCRL6	NM_001004310.2
FDFT1	NM_004462.3
FECH	NM_000140.3
FEM1A	NM_018708.2
FEN1	NM_004111.5
FERMT1	NM_017671.4
FERMT3	NM_031471.5
FEZF2	NM_018008.3
FFAR1	NM_005303.2
FGA	NM_021871.2
FGB	NM_005141.4
FGD1	NM_004463.2
FGD3	NM_001083536.1
FGD4	NM_139241.2
FGF1	NM_000800.4
FGF10	NM_004465.1
FGF14	NM_004115.3
FGF2	NM_002006.4
FGF20	NM_019851.2
FGF22	NM_020637.1
FGF23	NM_020638.2
FGF3	NM_005247.2
FGF8	NM_033163.3
FGF9	NM_002010.2
FGFBP1	NM_005130.4
FGFR1	NM_023110.2
fgfr18a	FJ809917.1
FGFR2	NM_000141.4
FGFR3	NM_000142.4
FGFR4	NM_002011.3
FGFRL1	NM_001004356.2
FGG	NM_000509.4
FH	NM_000143.3
FHL1	NM_001449.4
fhl1tv1	NM_001159702.2
FHOD3	NM_025135.2
FIG4	NM_014845.5
FIGLA	NM_001004311.3
FKBP10	NM_021939.3
FKBP14	NM_017946.2
FKBP6	NM_003602.3
FKBPL	NM_022110.3
FKRP	NM_024301.4
FKTN	NM_001079802.1
FLCN	NM_144997.5
flcntv2	NM_144606.5
FLG	NM_002016.1
FLNA	NM_001456.3
FLNB	NM_001457.3
FLNC	NM_001458.4
FLT1	NM_002019.4
FLT3	NM_004119.2
FLT4	NM_002020.4
FLVCR1	NM_014053.3
FLVCR2	NM_017791.2
FMO1	NM_002021.1
FMO2	NM_001460.2
FMO3	NM_006894.5
FMO4	NM_002022.1
FMO5	NM_001461.2
FMR1	NM_002024.5
FN1	NM_212482.1
FN3K	NM_022158.3
FOLH1	NM_004476.1
FOLR1	NM_016725.2
FOXA1	NM_004496.2
FOXA2	NM_021784.4
FOXA3	NM_004497.2
FOXC1	NM_001453.2
FOXC2	NM_005251.2
FOXD3	NM_012183.2
FOXD4	NM_207305.3
FOXE1	NM_004473.3
FOXE3	NM_012186.2
FOXF1	NM_001451.2
FOXF2	NM_001452.1
FOXG1	NM_005249.3
FOXH1	NM_003923.2
FOXI1	NM_012188.4
FOXL1	NM_005250.2
FOXL2	NM_023067.3
FOXN1	NM_003593.2
FOXP1	NM_032682.4
FOXP2	NM_014491.3
foxp2tv4	NM_148900.3
FOXP3	NM_014009.3
FOXRED1	NM_017547.3
FPGS	NM_004957.4
FPR1	NM_002029.3
FPR2	NM_001005738.1
FRAS1	NM_025074.6
FREM1	NM_144966.5
FREM2	NM_207361.4
FREM3	NM_001168235.1
FRK	NM_002031.2
FRMD6	NM_001042481.2
FRMD7	NM_194277.2
FRY	NM_023037.2
FRZB	NM_001463.3
FSCN2	NM_001077182.2
FSHB	NM_000510.2
FSHR	NM_000145.3
FTCD	NM_006657.2
FTH1	NM_002032.2
FTHL17	NM_031894.2
FTL	NM_000146.3
FTMT	NM_177478.1
FTO	NM_001080432.2
FTSJ1	NM_012280.2
FUCA1	NM_000147.4
FURIN	NM_002569.3
FUS	NM_004960.3
FUT1	NM_000148.3
FUT2	NM_000511.5
FUT3	NM_000149.3
FUT6	NM_000150.2
FUT7	NM_004479.3
FUT8	NM_178155.2
FUZ	NM_025129.4
FXN	NM_000144.4
FXYD2	NM_001680.4
FYCO1	NM_024513.2
FZD1	NM_003505.1
FZD3	NM_017412.3
FZD4	NM_012193.3
FZD6	NM_003506.3
G6PC	NM_000151.2
G6PC2	NM_021176.2
G6PC3	NM_138387.3
G6PD	NM_001042351.1
GAA	NM_000152.3
GAB2	NM_080491.2
GABBR1	NM_001470.2
GABRA1	NM_000806.5
GABRA6	NM_000811.2
GABRB3	NM_000814.5
gabrb3i2	NM_021912.4
GABRD	NM_000815.4
GABRG2	NM_000816.3
GABRG3	NM_033223.4
GABRR2	NM_002043.2
GAD1	NM_000817.2
GAD2	NM_000818.2
GADD45B	NM_015675.3
GAK	NM_005255.2
GAL	NM_015973.3
GALC	NM_000153.3
GALE	NM_000403.3
GALK1	NM_000154.1
GALNS	NM_000512.4
GALNT12	NM_024642.4
GALNT2	NM_004481.3
GALNT3	NM_004482.3
GALNTL4	NM_198516.2
GALP	NM_033106.3
GALT	NM_000155.2
GAMT	NM_000156.4
GAN	NM_022041.3
GAP43	NM_001130064.1
GARS	NM_002047.2
GAS1	NM_002048.2
GAS2L2	NM_139285.2
GAS6	NM_000820.3
GATA1	NM_002049.3
GATA2	NM_032638.4
GATA3	NM_001002295.1
GATA4	NM_002052.3
GATA5	NM_080473.4
GATA6	NM_005257.3
GATAD1	NM_021167.3
GATAD2B	NM_020699.2
GATM	NM_001482.2
GBA	NM_001005741.2
GBA2	NM_020944.2
GBA3	NM_020973.3
GBE1	NM_000158.3
GBGT1	NM_021996.4
GC	NM_000583.3
GCDH	NM_000159.2
GCGR	NM_000160.3
GCH1	NM_000161.2
GCK	NM_000162.3
GCKR	NM_001486.3
gcktv3	NM_033508.1
GCLC	NM_001498.3
GCLM	NM_002061.2
GCM2	NM_004752.3
GCNT2	NM_001491.2
GCSH	NM_004483.4
GDAP1	NM_018972.2
GDF1	NM_001492.4
GDF15	NM_004864.2
GDF3	NM_020634.1
GDF5	NM_000557.2
GDF6	NM_001001557.2
GDF9	NM_005260.3
GDI1	NM_001493.2
GDNF	NM_000514.3
GEMIN4	NM_015721.2
GFAP	NM_002055.4
GFER	NM_005262.2
GFI1	NM_005263.3
GFI1B	NM_004188.5
GFM1	NM_024996.5
GFM2	NM_032380.3
GFPT1	NM_002056.2
gfpt1msv	NM_001244710.1
GFPT2	NM_005110.2
GFRA1	NM_005264.4
GGCX	NM_000821.5
GGH	NM_003878.2
GGT5	NM_004121.2
GH1	NM_000515.3
GH2	NM_002059.4
GHR	NM_000163.4
GHRH	NM_021081.4
GHRHR	NM_000823.3
GHRL	NM_016362.3
GHSR	NM_198407.2
GIF	NM_005142.2
GIGYF2	NM_001103146.1
GIMAP8	NM_175571.2
GIP	NM_004123.2
GIPC3	NM_133261.2
GIPR	NM_000164.2
GJA1	NM_000165.3
GJA3	NM_021954.3
GJA4	NM_002060.2
GJA5	NM_005266.5
GJA8	NM_005267.4
GJB1	NM_000166.5
GJB2	NM_004004.5
GJB3	NM_024009.2
GJB4	NM_153212.2
GJB6	NM_006783.4
GJC2	NM_020435.3
GJC3	NM_181538.2
GJD2	NM_020660.1
GK	NM_000167.5
GLA	NM_000169.2
GLB1	NM_000404.2
GLCCI1	NM_138426.3
GLDC	NM_000170.2
GLE1	NM_001003722.1
GLI1	NM_005269.2
GLI2	NM_005270.4
GLI3	NM_000168.5
GLIS2	NM_032575.2
GLIS3	NM_152629.3
GLMN	NM_053274.2
GLO1	NM_006708.2
GLP1R	NM_002062.3
GLRA1	NM_000171.3
GLRB	NM_000824.4
GLRX5	NM_016417.2
GLTSCR1	NM_015711.3
GLUD1	NM_005271.3
GLUD2	NM_012084.3
GLUL	NM_002065.5
GLYCTK	NM_145262.3
GM2A	NM_000405.4
GMIP	NM_016573.3
GNAI2	NM_002070.3
GNAI3	NM_006496.2
GNAL	NM_001142339.1
GNAQ	NM_002072.3
GNAS	NM_000516.4
GNAT1	NM_144499.2
GNAT2	NM_005272.3
GNB1L	NM_053004.2
GNB3	NM_002075.2
GNE	NM_005476.5
GNL1	NM_005275.3
GNMT	NM_018960.4
GNPAT	NM_014236.3
GNPTAB	NM_024312.4
GNPTG	NM_032520.4
GNRH1	NM_000825.3
GNRHR	NM_000406.2
GNS	NM_002076.3
GOLGA3	NM_001172557.1
GOLGA5	NM_005113.2
GOLGA6L6	NM_001145004.1
GON4L	NM_001282860.1
GORAB	NM_152281.2
GOSR2	NM_004287.3
GOT1	NM_002079.2
GP1BA	NM_000173.5
GP1BB	NM_000407.4
GP2	NM_001007240.2
GP6	NM_001083899.1
GP9	NM_000174.3
GPAM	NM_020918.4
GPANK1	NM_033177.3
GPATCH8	NM_001002909.2
GPBAR1	NM_001077191.1
GPC3	NM_004484.3
GPC6	NM_005708.3
GPD1	NM_005276.3
GPD1L	NM_015141.3
GPD2	NM_001083112.2
GPHN	NM_020806.4
GPI	NM_000175.3
GPIHBP1	NM_178172.3
GPR1	NM_005279.3
GPR125	NM_145290.2
GPR139	NM_001002911.2
GPR143	NM_000273.2
GPR179	NM_001004334.2
GPR33	NM_001197184.2
GPR37	NM_005302.2
GPR44	NM_004778.2
GPR55	NM_005683.3
GPR56	NM_005682.5
GPR68	NM_003485.3
GPR75	NM_006794.3
GPR77	NM_018485.1
GPR98	NM_032119.3
GPRIN3	NM_198281.2
GPS1	NM_212492.1
GPSM2	NM_013296.4
GPT	NM_005309.2
GPX1	NM_000581.2
GPX4	NM_001039848.2
GRB10	NM_005311.4
GREM1	NM_013372.6
GRHL2	NM_024915.3
GRHPR	NM_012203.1
GRIA1	NM_001114183.1
GRIA3	NM_000828.4
GRIK1	NM_000830.3
GRIK3	NM_000831.3
GRIN1	NM_007327.3
GRIN2A	NM_000833.3
GRIN2B	NM_000834.3
GRIN3A	NM_133445.2
GRIP1	NM_021150.3
GRK1	NM_002929.2
GRK4	NM_182982.2
GRK5	NM_005308.2
GRM1	NM_000838.3
GRM6	NM_000843.3
GRM7	NM_000844.3
GRN	NM_002087.2
GRPR	NM_005314.2
GRXCR1	NM_001080476.2
GSC	NM_173849.2
GSDMA	NM_178171.4
GSDMB	NM_001042471.1
GSK3B	NM_002093.3
GSN	NM_000177.4
GSR	NM_000637.3
GSS	NM_000178.2
GSTA1	NM_145740.3
GSTA2	NM_000846.4
GSTA3	NM_000847.4
GSTK1	NM_015917.2
GSTM1	NM_000561.3
GSTM3	NM_000849.4
GSTM4	NM_000850.4
GSTO1	NM_004832.2
GSTO2	NM_183239.1
GSTP1	NM_000852.3
GSTT1	NM_000853.2
GSTZ1	NM_145870.2
GTDC2	NM_032806.4
GTF2E1	NM_005513.2
GTF2H1	NM_005316.3
GTF2H5	NM_207118.2
GTF2IRD1	NM_016328.2
GUCA1A	NM_000409.3
GUCA1B	NM_002098.5
GUCY2C	NM_004963.3
GUCY2D	NM_000180.3
GUSB	NM_000181.3
GYG1	NM_004130.3
GYLTL1B	NM_152312.3
GYPA	NM_002099.6
GYPB	NM_002100.4
GYPC	NM_002101.3
GYS1	NM_002103.4
GYS2	NM_021957.3
GZMB	NM_004131.4
H2BFWT	NM_001002916.3
H6PD	NM_004285.3
HABP2	NM_004132.3
HACE1	NM_020771.3
HADH	NM_005327.4
HADHA	NM_000182.4
HADHB	NM_000183.2
HAL	NM_002108.2
HAMP	NM_021175.2
HAND1	NM_004821.2
HAND2	NM_021973.2
HARS	NM_002109.3
HARS2	NM_012208.2
HAS1	NM_001523.2
HAVCR1	NM_012206.2
HAX1	NM_006118.3
HBA1	NM_000558.3
HBA2	NM_000517.4
HBB	NM_000518.4
HBD	NM_000519.3
HBE1	NM_005330.3
HBEGF	NM_001945.2
HBG1	NM_000559.2
HBG2	NM_000184.2
HBM	NM_001003938.3
HBS1L	NM_006620.3
HCAR1	NM_032554.3
HCCS	NM_005333.4
HCLS1	NM_005335.4
HCN1	NM_021072.2
HCN2	NM_001194.3
HCN4	NM_005477.2
HCRT	NM_001524.1
HCRTR1	NM_001525.2
HCRTR2	NM_001526.3
HDAC4	NM_006037.3
HDAC8	NM_018486.2
HDC	NM_002112.3
hdgfrp2	NM_001001520.1
HDLBP	NM_005336.3
HEATR2	NM_017802.3
HELB	NM_033647.2
HELQ	NM_133636.2
HEPACAM	NM_152722.4
HERC2	NM_004667.4
HES6	NM_018645.5
HES7	NM_032580.3
HESX1	NM_003865.2
HEXA	NM_000520.4
HEXB	NM_000521.3
HEY1	NM_012258.3
HFE	NM_000410.3
HFE2	NM_213653.3
HGD	NM_000187.3
HGF	NM_000601.4
HGSNAT	NM_152419.2
HHEX	NM_002729.4
HHIP	NM_022475.2
HHIPL2	NM_024746.3
HIBCH	NM_014362.3
HIF1A	NM_001530.3
HIF1AN	NM_017902.2
HIGD2A	NM_138820.2
HINT1	NM_005340.5
HIST1H2AE	NM_021052.2
HIST3H3	NM_003493.2
HIVEP2	NM_006734.3
HK1	NM_000188.2
hk1e	NM_033496.2
HK2	NM_000189.4
HLA-A	NM_002116.7
HLA-B	NM_005514.6
HLA-C	NM_002117.4
HLA-DMB	NM_002118.4
HLA-DOA	NM_002119.3
HLA-DPB1	NM_002121.5
HLA-DQA1	NM_002122.3
HLA-DQB1	NM_002123.4
HLA-DRA	NM_019111.4
HLA-DRB1	NM_002124.2
HLA-DRB5	NM_002125.3
HLA-E	NM_005516.5
HLA-G	NM_002127.5
HLCS	NM_000411.6
HLX	NM_021958.3
HMBS	NM_000190.3
HMCN1	NM_031935.2
HMGA1	NM_145899.2
HMGA2	NM_003483.4
HMGCL	NM_000191.2
HMGCR	NM_000859.2
HMGCS2	NM_005518.3
HMHA1	NM_012292.2
HMOX1	NM_002133.2
HMOX2	NM_001127206.2
HMSD	NM_001123366.1
HNF1A	NM_000545.5
HNF1B	NM_000458.2
HNF4A	NM_000457.3
hnf4atv8	NM_175914.3
HNMT	NM_006895.2
HNRNPH3	NM_012207.2
HOGA1	NM_138413.3
HOMER2	NM_004839.3
HORMAD1	NM_032132.4
HOXA1	NM_005522.4
HOXA10	NM_018951.3
HOXA11	NM_005523.5
HOXA13	NM_000522.4
HOXA2	NM_006735.3
HOXA4	NM_002141.4
HOXB1	NM_002144.3
HOXB13	NM_006361.5
HOXB5	NM_002147.3
HOXB6	NM_018952.4
HOXC13	NM_017410.2
HOXD10	NM_002148.3
HOXD13	NM_000523.3
HOXD4	NM_014621.2
HP	NM_005143.3
HPD	NM_002150.2
HPGD	NM_000860.4
HPRT1	NM_000194.2
HPS1	NM_000195.3
HPS3	NM_032383.3
HPS4	NM_022081.4
HPS5	NM_181507.1
HPS6	NM_024747.5
HPSE2	NM_021828.4
HR	NM_005144.4
HRAS	NM_005343.2
HRC	NM_002152.2
HRG	NM_000412.2
HRH2	NM_022304.2
HRH3	NM_007232.2
HS6ST1	NM_004807.2
HSD11B1	NM_005525.3
HSD11B2	NM_000196.3
